"Код населённого пункта;Населённый пункт;Численность населения;Код региона;Регион (область);Код федерального округа;Федеральный округ;Код страты;Страта;"
"11418;Зеленоборский, Мурманская область;3429;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"10241;Зеленогорск, Красноярский край;52389;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11419;Зеленогорский, Кемеровская область - Кузбасс;4511;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10489;Зеленоградск, Калининградская область;17085;2043;Калининградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11420;Зеленоградский, Московская область;5367;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10139;Зеленодольск, Республика Татарстан;98791;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10297;Зеленокумск, Ставропольский край;32800;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"11421;Зеленый Бор, Красноярский край;2665;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11422;Зеленый Город кп, Нижегородская область;1942;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11423;Земетчино, Пензенская область;9415;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"10841;Зерноград, Ростовская область;23305;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"10321;Зея, Амурская область;18486;2032;Амурская область;4;Дальневосточный;100546;Менее 100тыс;"
"10470;Зима, Иркутская область;29681;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11046;Златоуст, Челябинская область;157244;2076;Челябинская область;6;Уральский;100545;От 100 тыс. до 250 тыс.;"
"10360;Злынка, Брянская область;5121;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10187;Змеиногорск, Алтайский край;9110;2023;Алтайский край;5;Сибирский;100546;Менее 100тыс;"
"11424;Змиёвка, Орловская область;4917;2060;Орловская область;1;Центральный;100546;Менее 100тыс;"
"11425;Знаменка, Орловская область;9504;2060;Орловская область;1;Центральный;100546;Менее 100тыс;"
"11426;Знаменка, Тамбовская область;5231;2070;Тамбовская область;1;Центральный;100546;Менее 100тыс;"
"10342;Знаменск, Астраханская область;23487;2034;Астраханская область;2;Южный;100546;Менее 100тыс;"
"11427;Золотаревка, Пензенская область;2758;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"11428;Золотинка, Республика Саха (Якутия);575;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"11429;Золотореченск, Забайкальский край;951;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11430;Золотухино, Курская область;4216;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"11431;Зубова Поляна, Республика Мордовия;10898;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"10989;Зубцов, Тверская область;6114;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10550;Зуевка, Кировская область;9327;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"11432;Зырянка, Республика Саха (Якутия);2360;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10604;Ивангород, Ленинградская область;9397;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11433;Иванино, Курская область;2160;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"10448;Иваново, Ивановская область;356735;2041;Ивановская область;1;Центральный;100544;От 250 тыс. до 500 тыс.;"
"10659;Ивантеевка, Московская область;84203;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10927;Ивдель, Свердловская область;13708;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11434;Ивня, Белгородская область;6793;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"11435;Ивот , Брянская область;5592;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10242;Игарка, Красноярский край;3576;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11436;Игнатовка, Ульяновская область;1778;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11437;Игрим, Ханты-Мансийский автономный округ - Югра;7079;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"11438;Идрица, Псковская область;3862;2062;Псковская область;3;Северо-Западный;100546;Менее 100тыс;"
"10158;Ижевск, Удмуртская республика;616297;2019;Удмуртская Республика;7;Приволжский;100543;От 500 тыс. до 1млн.;"
"11439;Ижморский, Кемеровская область - Кузбасс;4551;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10034;Избербаш, Республика Дагестан;59275;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"11440;Известковый, Еврейская автономная область;1322;2081;Еврейская автономная область;4;Дальневосточный;100546;Менее 100тыс;"
"11441;Излучинск, Ханты-Мансийский автономный округ - Югра;22268;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"11442;Измайлово, Московская область;1626;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11443;Измайлово, Ульяновская область;1878;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"10298;Изобильный, Ставропольский край;37450;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"11444;Изоплит, Тверская область;1108;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11445;Изъяю, Республика Коми;860;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"11446;Икша, Московская область;3886;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10243;Иланский, Красноярский край;15328;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11447;Иловля, Волгоградская область;10034;2038;Волгоградская область;2;Южный;100546;Менее 100тыс;"
"11448;Ильинка, Астраханская область;6463;2034;Астраханская область;2;Южный;100546;Менее 100тыс;"
"11449;Ильиногорск, Нижегородская область;6016;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11450;Ильинский, Московская область;14787;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11451;Ильинское-Хованское, Ивановская область;3338;2041;Ивановская область;1;Центральный;100546;Менее 100тыс;"
"11452;Ильский, Краснодарский край;25125;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"11453;им. В.И.Ленина, Ульяновская область;1831;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11454;им. Воровского, Московская область;16467;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11455;Им. Карла Либкнехта, Курская область;7534;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"11456;им. М.И.Калинина, Нижегородская область;1630;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11457;им. Степана Разина, Нижегородская область;2024;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11458;им. Цюрупы, Московская область;5960;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11459;имени Морозова, Ленинградская область;10344;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11460;имени Свердлова, Ленинградская область;12816;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11461;Инжавино, Тамбовская область;7468;2070;Тамбовская область;1;Центральный;100546;Менее 100тыс;"
"11037;Инза, Ульяновская область;15737;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11462;Иннополис, Республика Татарстан;4784;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11463;Иноземцево кп, Ставропольский край;28091;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"10104;Инсар, Республика Мордовия;7504;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"11464;Инской, Кемеровская область - Кузбасс;12222;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10076;Инта, Республика Коми;18737;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"10299;Ипатово, Ставропольский край;25163;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"10928;Ирбит, Свердловская область;36178;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"10471;Иркутск, Иркутская область;605708;2042;Иркутская область;5;Сибирский;100543;От 500 тыс. до 1млн.;"
"11465;Ирша, Красноярский край;924;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"10783;Исилькуль, Омская область;19445;2058;Омская область;5;Сибирский;100546;Менее 100тыс;"
"11466;Искателей, Архангельская область;7326;2033;Архангельская область;3;Северо-Западный;100546;Менее 100тыс;"
"10772;Искитим, Новосибирская область;56509;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"11467;Исса, Пензенская область;4760;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"10660;Истра, Московская область;34552;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11468;Итака, Забайкальский край;169;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11469;Итатский, Кемеровская область - Кузбасс;2367;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"11470;Ишеевка, Ульяновская область;10379;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11031;Ишим, Тюменская область;67345;2074;Тюменская область;6;Уральский;100546;Менее 100тыс;"
"10012;Ишимбай, Республика Башкортостан;61978;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"11471;Ишня, Ярославская область;2642;2077;Ярославская область;1;Центральный;100546;Менее 100тыс;"
"10101;Йошкар-Ола, Республика Марий Эл;285219;2013;Республика Марий Эл;7;Приволжский;100544;От 250 тыс. до 500 тыс.;"
"11472;Каа-Хем, Республика Тыва;20356;2018;Республика Тыва;5;Сибирский;100546;Менее 100тыс;"
"11473;Кавалерово, Приморский край;12951;2029;Приморский край;4;Дальневосточный;100546;Менее 100тыс;"
"10421;Кадников, Вологодская область;3908;2039;Вологодская область;3;Северо-Западный;100546;Менее 100тыс;"
"11474;Кадом, Рязанская область;4889;2064;Рязанская область;1;Центральный;100546;Менее 100тыс;"
"11475;Кадошкино, Республика Мордовия;3758;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"11476;Кадуй, Вологодская область;11300;2039;Вологодская область;3;Северо-Западный;100546;Менее 100тыс;"
"11477;Кадый, Костромская область;2930;2047;Костромская область;1;Центральный;100546;Менее 100тыс;"
"11478;Каз, Кемеровская область - Кузбасс;3975;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10140;Казань, Республика Татарстан;1329825;2017;Республика Татарстан;7;Приволжский;100542;Другой миллионник;"
"11479;Калангуй, Забайкальский край;1145;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"10435;Калач, Воронежская область;16635;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"10784;Калачинск, Омская область;20168;2058;Омская область;5;Сибирский;100546;Менее 100тыс;"
"10400;Калач-на-Дону, Волгоградская область;23398;2038;Волгоградская область;2;Южный;100546;Менее 100тыс;"
"11480;Калашниково, Тверская область;4155;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11481;Калевала, Республика Карелия;3352;2010;Республика Карелия;3;Северо-Западный;100546;Менее 100тыс;"
"10490;Калининград, Калининградская область;488690;2043;Калининградская область;3;Северо-Западный;100544;От 250 тыс. до 500 тыс.;"
"11482;Калининец, Московская область;25545;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10885;Калининск, Саратовская область;14547;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"11483;Калино, Пермский край;1522;2028;Пермский край;7;Приволжский;100546;Менее 100тыс;"
"10532;Калтан, Кемеровская область;20724;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10512;Калуга, Калужская область;324989;2044;Калужская область;1;Центральный;100544;От 250 тыс. до 500 тыс.;"
"10990;Калязин, Тверская область;11852;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10159;Камбарка, Удмуртская республика;9842;2019;Удмуртская Республика;7;Приволжский;100546;Менее 100тыс;"
"11484;Каменка, Воронежская область;7823;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"11485;Каменка, Ивановская область;3478;2041;Ивановская область;1;Центральный;100546;Менее 100тыс;"
"10811;Каменка, Пензенская область;32477;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"10605;Каменногорск, Ленинградская область;6964;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11486;Каменоломни, Ростовская область;12181;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"11487;Каменск, Республика Бурятия;6300;2004;Республика Бурятия;4;Дальневосточный;100546;Менее 100тыс;"
"11488;Каменский, Саратовская область;2402;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"10929;Каменск-Уральский, Свердловская область;160312;2068;Свердловская область;6;Уральский;100545;От 100 тыс. до 250 тыс.;"
"10842;Каменск-Шахтинский, Ростовская область;82425;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"10188;Камень-на-Оби, Алтайский край;31437;2023;Алтайский край;5;Сибирский;100546;Менее 100тыс;"
"10378;Камешково, Владимирская область;11679;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"11489;Камские Поляны, Республика Татарстан;13754;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11490;Камское Устье, Республика Татарстан;4263;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10343;Камызяк, Астраханская область;15912;2034;Астраханская область;2;Южный;100546;Менее 100тыс;"
"10401;Камышин, Волгоградская область;104220;2038;Волгоградская область;2;Южный;100545;От 100 тыс. до 250 тыс.;"
"10930;Камышлов, Свердловская область;26915;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"10173;Канаш, Чувашская республика;43035;2022;Чувашская Республика;7;Приволжский;100546;Менее 100тыс;"
"10719;Кандалакша, Мурманская область;27772;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"10244;Канск, Красноярский край;85182;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11491;Кантемировка, Воронежская область;10191;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"10379;Карабаново, Владимирская область;12765;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"11492;Карабаш, Республика Татарстан;4560;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11047;Карабаш, Челябинская область;10060;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"10041;Карабулак, Республика Ингушетия;44643;2006;Республика Ингушетия;8;Северо-Кавказский;100546;Менее 100тыс;"
"10773;Карасук, Новосибирская область;24569;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"10056;Карачаевск, Карачаево-Черкесская республика;23841;2009;Карачаево-Черкесская Республика;8;Северо-Кавказский;100546;Менее 100тыс;"
"10361;Карачев, Брянская область;16593;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10774;Каргат, Новосибирская область;8095;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"10329;Каргополь, Архангельская область;8648;2033;Архангельская область;3;Северо-Западный;100546;Менее 100тыс;"
"11493;Кардымово, Смоленская область;4442;2069;Смоленская область;1;Центральный;100546;Менее 100тыс;"
"10931;Карпинск, Свердловская область;24918;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11494;Карсун, Ульяновская область;6920;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11048;Карталы, Челябинская область;26675;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"11495;Карымское, Забайкальский край;12206;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"10856;Касимов, Рязанская область;27234;2064;Рязанская область;1;Центральный;100546;Менее 100тыс;"
"11049;Касли, Челябинская область;14618;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"10035;Каспийск, Республика Дагестан;133105;2005;Республика Дагестан;8;Северо-Кавказский;100545;От 100 тыс. до 250 тыс.;"
"11496;Касторное, Курская область;3351;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"11050;Катав-Ивановск, Челябинская область;14025;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"10579;Катайск, Курганская область;11309;2048;Курганская область;6;Уральский;100546;Менее 100тыс;"
"10932;Качканар, Свердловская область;36252;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11498;Качуг, Иркутская область;6273;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10991;Кашин, Тверская область;13444;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10661;Кашира, Московская область;44433;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11499;Квиток, Иркутская область;2532;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11500;Кедровый, Красноярский край;3707;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11006;Кедровый, Томская область;1829;2072;Томская область;5;Сибирский;100546;Менее 100тыс;"
"10533;Кемерово, Кемеровская область;542928;2045;Кемеровская область;5;Сибирский;100543;От 500 тыс. до 1млн.;"
"10061;Кемь, Республика Карелия;9388;2010;Республика Карелия;3;Северо-Западный;100546;Менее 100тыс;"
"11501;Кесова Гора, Тверская область;3623;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10262;Кизел, Пермский край;14748;2028;Пермский край;7;Приволжский;100546;Менее 100тыс;"
"10036;Кизилюрт, Республика Дагестан;39601;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"10037;Кизляр, Республика Дагестан;51197;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"11502;Кикнур, Кировская область;3881;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"11503;Килемары, Республика Марий Эл;3798;2013;Республика Марий Эл;7;Приволжский;100546;Менее 100тыс;"
"11504;Кильдинстрой, Мурманская область;2136;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"11505;Кильмезь, Кировская область;5240;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"11018;Кимовск, Тульская область;25950;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10992;Кимры, Тверская область;38441;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10606;Кингисепп, Ленинградская область;48355;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10869;Кинель, Самарская область;36477;2065;Самарская область;7;Приволжский;100546;Менее 100тыс;"
"10449;Кинешма, Ивановская область;74197;2041;Ивановская область;1;Центральный;100546;Менее 100тыс;"
"11019;Киреевск, Тульская область;25240;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10472;Киренск, Иркутская область;10638;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10380;Киржач, Владимирская область;25814;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"10422;Кириллов, Вологодская область;6971;2039;Вологодская область;3;Северо-Западный;100546;Менее 100тыс;"
"10607;Кириши, Ленинградская область;49235;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10513;Киров, Калужская область;27340;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"10551;Киров, Кировская область;475871;2046;Кировская область;7;Приволжский;100544;От 250 тыс. до 500 тыс.;"
"10933;Кировград, Свердловская область;18234;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"10552;Кирово-Чепецк, Кировская область;63979;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"10608;Кировск, Ленинградская область;27083;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10720;Кировск, Мурманская область;23710;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"11507;Кировский, Астраханская область;1981;2034;Астраханская область;2;Южный;100546;Менее 100тыс;"
"11508;Кировский, Курская область;2372;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"11509;Кировский, Приморский край;7708;2029;Приморский край;4;Дальневосточный;100546;Менее 100тыс;"
"10553;Кирс, Кировская область;8066;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"10975;Кирсанов, Тамбовская область;15705;2070;Тамбовская область;1;Центральный;100546;Менее 100тыс;"
"10534;Киселёвск, Кемеровская область;80115;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10300;Кисловодск, Ставропольский край;125931;2030;Ставропольский край;8;Северо-Кавказский;100545;От 100 тыс. до 250 тыс.;"
"11510;Кичера, Республика Бурятия;840;2004;Республика Бурятия;4;Дальневосточный;100546;Менее 100тыс;"
"11511;Клены, Саратовская область;2125;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"11512;Клетня , Брянская область;11497;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11513;Климово , Брянская область;13054;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10663;Клин, Московская область;89153;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10362;Клинцы, Брянская область;61153;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11514;Кличка, Забайкальский край;930;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11515;Ключевский, Забайкальский край;888;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"10743;Княгинино, Нижегородская область;6356;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10721;Ковдор, Мурманская область;15170;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"11516;Ковернино, Нижегородская область;6891;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10381;Ковров, Владимирская область;127831;2037;Владимирская область;1;Центральный;100545;От 100 тыс. до 250 тыс.;"
"10105;Ковылкино, Республика Мордовия;19314;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"11102;Когалым, Ханты-Мансийский автономный округ - Югра;64066;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10245;Кодинск, Красноярский край;12657;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11517;Кожва, Республика Коми;1673;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"10514;Козельск, Калужская область;16539;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"10174;Козловка, Чувашская республика;7385;2022;Чувашская Республика;7;Приволжский;100546;Менее 100тыс;"
"11518;Козлово, Тверская область;2784;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11519;Козулька , Красноярский край;6128;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"10102;Козьмодемьянск, Республика Марий Эл;18911;2013;Республика Марий Эл;7;Приволжский;100546;Менее 100тыс;"
"11520;Кокоревка , Брянская область;1713;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11521;Кокуй, Забайкальский край;5332;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"10722;Кола, Мурманская область;8689;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"11522;Колобово, Ивановская область;2266;2041;Ивановская область;1;Центральный;100546;Менее 100тыс;"
"10569;Кологрив, Костромская область;2299;2047;Костромская область;1;Центральный;100546;Менее 100тыс;"
"10664;Коломна, Московская область;132772;2053;Московская область;1;Центральный;100545;От 100 тыс. до 250 тыс.;"
"11007;Колпашево, Томская область;19887;2072;Томская область;5;Сибирский;100546;Менее 100тыс;"
"11523;Колпна, Орловская область;5204;2060;Орловская область;1;Центральный;100546;Менее 100тыс;"
"11524;Колтуши, Ленинградская область;14954;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11525;Колывань, Новосибирская область;12322;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"11526;Колышлей, Пензенская область;7740;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"11527;Кольцово , Новосибирская область;20942;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"10382;Кольчугино, Владимирская область;37324;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"11528;Комаричи , Брянская область;7238;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10609;Коммунар, Ленинградская область;25830;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11529;Коммунистический, Ханты-Мансийский автономный округ - Югра;1411;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10450;Комсомольск, Ивановская область;8395;2041;Ивановская область;1;Центральный;100546;Менее 100тыс;"
"11530;Комсомольск, Кемеровская область - Кузбасс;1494;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"11531;Комсомольский, Республика Дагестан;2489;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"11532;Комсомольский, Республика Коми;119;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"11533;Комсомольский, Республика Мордовия;10966;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"10314;Комсомольск-на-Амуре, Хабаровский край;233716;2031;Хабаровский край;4;Дальневосточный;100545;От 100 тыс. до 250 тыс.;"
"10993;Конаково, Тверская область;31169;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11534;Кондинское, Ханты-Мансийский автономный округ - Югра;2497;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10062;Кондопога, Республика Карелия;24689;2010;Республика Карелия;3;Северо-Западный;100546;Менее 100тыс;"
"10515;Кондрово, Калужская область;15390;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"11535;Коноша, Архангельская область;10080;2033;Архангельская область;3;Северо-Западный;100546;Менее 100тыс;"
"10843;Константиновск, Ростовская область;16859;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"11536;Константиновский, Ярославская область;5007;2077;Ярославская область;1;Центральный;100546;Менее 100тыс;"
"11537;Конышевка, Курская область;3517;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"11051;Копейск, Челябинская область;143751;2076;Челябинская область;6;Уральский;100545;От 100 тыс. до 250 тыс.;"
"10857;Кораблино, Рязанская область;9843;2064;Рязанская область;1;Центральный;100546;Менее 100тыс;"
"11538;Коренево, Курская область;5191;2049;Курская область;1;Центральный;100546;Менее 100тыс;"
"10215;Кореновск, Краснодарский край;40944;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"11052;Коркино, Челябинская область;35832;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"11539;Кормиловка, Омская область;8983;2058;Омская область;5;Сибирский;100546;Менее 100тыс;"
"10666;Королёв, Московская область;226477;2053;Московская область;1;Центральный;100545;От 100 тыс. до 250 тыс.;"
"10352;Короча, Белгородская область;5123;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"10900;Корсаков, Сахалинская область;32772;2067;Сахалинская область;4;Дальневосточный;100546;Менее 100тыс;"
"11540;Корфовский, Хабаровский край;4823;2031;Хабаровский край;4;Дальневосточный;100546;Менее 100тыс;"
"10330;Коряжма, Архангельская область;33419;2033;Архангельская область;3;Северо-Западный;100546;Менее 100тыс;"
"10383;Костерёво, Владимирская область;6946;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"10063;Костомукша, Республика Карелия;25704;2010;Республика Карелия;3;Северо-Западный;100546;Менее 100тыс;"
"10570;Кострома, Костромская область;264952;2047;Костромская область;1;Центральный;100544;От 250 тыс. до 500 тыс.;"
"10665;Котельники, Московская область;75289;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10402;Котельниково, Волгоградская область;22056;2038;Волгоградская область;2;Южный;100546;Менее 100тыс;"
"10554;Котельнич, Кировская область;19238;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
